FrameNo,CumulativeTime(s),distance(m)
279,120.499,0.691497
280,120.94,0.828748
281,121.364,0.804527
282,121.791,0.813453
283,122.245,0.832726
284,122.68,0.749762
285,123.118,0.725639
286,123.554,0.783326
287,124.03,0.9775
288,124.492,0.630297
289,124.927,0.552751
290,125.355,0.616128
291,125.793,0.586155
292,126.245,0.62228
293,126.685,0.577131
294,127.115,0.521664
295,127.543,0.556266
296,127.973,0.623206
297,128.388,0.758401
298,128.795,0.835039
299,129.207,0.811514
300,129.633,1.351701
301,130.064,
302,130.478,0.563066
303,130.89,0.514022
304,131.331,0.548331
305,131.766,0.681388
306,132.229,1.031227
307,132.669,
308,133.104,
309,133.553,
310,134.011,
311,134.443,
312,134.889,
313,135.299,
314,135.753,
315,136.204,
316,136.645,
317,137.049,
318,137.441,
319,137.853,
320,138.282,
321,138.678,
322,139.114,
323,139.558,
324,139.977,
325,140.41,
326,140.847,
327,141.305,
328,141.734,
329,142.186,
